日期,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-02-05,0.402,0.412,0.418,0.388,3369295,136082873.454,7.41,1.73,0.007,2.61
2024-02-06,0.41,0.432,0.433,0.407,2927106,123952386.689,6.31,4.85,0.02,2.27
2024-02-07,0.432,0.439,0.443,0.43,2601631,113998086.076,3.01,1.62,0.007,2.02
2024-02-08,0.441,0.444,0.45,0.44,2041101,90899658.822,2.28,1.14,0.005,1.58
2024-02-19,0.448,0.453,0.454,0.446,2830884,127304818.534,1.8,2.03,0.009,2.2
2024-02-20,0.453,0.452,0.454,0.447,1759874,79233971.52,1.55,-0.22,-0.001,1.37
2024-02-21,0.45,0.454,0.46,0.447,2302288,104795317.467,2.88,0.44,0.002,1.79
2024-02-22,0.452,0.455,0.458,0.452,1248230,56816981.347,1.32,0.22,0.001,0.97
2024-02-23,0.457,0.455,0.458,0.451,1165179,52942427.919,1.54,0.0,0.0,0.9
2024-02-26,0.455,0.454,0.459,0.452,1335367,60816091.15,1.54,-0.22,-0.001,1.04
2024-02-27,0.453,0.468,0.468,0.451,2185896,100642242.143,3.74,3.08,0.014,1.7
2024-02-28,0.468,0.457,0.477,0.457,2092636,98034072.174,4.27,-2.35,-0.011,1.62
2024-02-29,0.456,0.474,0.474,0.455,1984551,92659246.64,4.16,3.72,0.017,1.54
2024-03-01,0.473,0.479,0.481,0.471,1942164,92510199.75,2.11,1.05,0.005,1.51
2024-03-04,0.48,0.482,0.485,0.477,1902163,91695230.641,1.67,0.63,0.003,1.48
2024-03-05,0.478,0.484,0.488,0.477,2141019,103547210.967,2.28,0.41,0.002,1.66
2024-03-06,0.481,0.482,0.489,0.477,1338486,64561268.116,2.48,-0.41,-0.002,1.04
2024-03-07,0.482,0.472,0.485,0.471,2182382,103800951.492,2.9,-2.07,-0.01,1.69
2024-03-08,0.474,0.477,0.479,0.47,1271174,60325531.031,1.91,1.06,0.005,0.99
2024-03-11,0.476,0.494,0.495,0.475,3921847,191488866.942,4.19,3.56,0.017,3.04
2024-03-12,0.495,0.495,0.5,0.492,4808076,238604451.748,1.62,0.2,0.001,3.73
2024-03-13,0.495,0.494,0.499,0.492,2620366,129919798.0,1.41,-0.2,-0.001,2.03
2024-03-14,0.493,0.49,0.498,0.486,2492601,122446101.043,2.43,-0.81,-0.004,1.93
2024-03-15,0.488,0.49,0.49,0.481,1375440,66690238.272,1.84,0.0,0.0,1.07
2024-03-18,0.49,0.5,0.501,0.49,1477822,73496267.619,2.24,2.04,0.01,1.15
2024-03-19,0.499,0.493,0.5,0.493,842722,41847977.2,1.4,-1.4,-0.007,0.65
2024-03-20,0.492,0.493,0.496,0.489,938642,46207558.234,1.42,0.0,0.0,0.73
2024-03-21,0.494,0.489,0.498,0.488,1220159,60059353.529,2.03,-0.81,-0.004,0.95
2024-03-22,0.488,0.482,0.49,0.481,1692981,81995028.064,1.84,-1.43,-0.007,1.31
2024-03-25,0.482,0.476,0.485,0.476,1158718,55737430.341,1.87,-1.24,-0.006,0.9
2024-03-26,0.476,0.475,0.48,0.473,996775,47403804.907,1.47,-0.21,-0.001,0.77
2024-03-27,0.474,0.464,0.475,0.463,1240713,58089287.258,2.53,-2.32,-0.011,0.96
2024-03-28,0.462,0.467,0.472,0.462,1262458,58945175.781,2.16,0.65,0.003,0.98
2024-03-29,0.466,0.469,0.471,0.463,1226768,57153355.905,1.71,0.43,0.002,0.95
2024-04-01,0.47,0.479,0.48,0.47,1671304,79746018.868,2.13,2.13,0.01,1.3
2024-04-02,0.478,0.475,0.479,0.473,830830,39513079.967,1.25,-0.84,-0.004,0.64
2024-04-03,0.474,0.469,0.475,0.468,1072794,50495782.983,1.47,-1.26,-0.006,0.83
2024-04-08,0.468,0.461,0.469,0.461,1117485,51913894.966,1.71,-1.71,-0.008,0.87
2024-04-09,0.462,0.465,0.465,0.458,1068872,49304215.294,1.52,0.87,0.004,0.83
2024-04-10,0.465,0.456,0.465,0.455,1331945,60982819.832,2.15,-1.94,-0.009,1.03
2024-04-11,0.455,0.455,0.46,0.454,2000317,91355503.124,1.32,-0.22,-0.001,1.55
2024-04-12,0.455,0.454,0.459,0.454,950644,43436336.312,1.1,-0.22,-0.001,0.74
2024-04-15,0.455,0.462,0.465,0.454,1254303,57962624.297,2.42,1.76,0.008,0.97
2024-04-16,0.46,0.455,0.462,0.454,1340713,61387296.352,1.73,-1.52,-0.007,1.04
2024-04-17,0.458,0.464,0.464,0.456,1184740,54587922.399,1.76,1.98,0.009,0.92
2024-04-18,0.462,0.461,0.466,0.456,1229188,56742795.924,2.16,-0.65,-0.003,0.95
2024-04-19,0.46,0.45,0.46,0.448,1408296,63708913.374,2.6,-2.39,-0.011,1.09
2024-04-22,0.449,0.449,0.453,0.446,749874,33711313.506,1.56,-0.22,-0.001,0.58
2024-04-23,0.45,0.448,0.453,0.446,1432312,64233239.549,1.56,-0.22,-0.001,1.11
2024-04-24,0.45,0.453,0.454,0.447,805118,36304772.64,1.56,1.12,0.005,0.62
2024-04-25,0.451,0.45,0.455,0.448,1020777,46044496.647,1.55,-0.66,-0.003,0.79
2024-04-26,0.451,0.466,0.466,0.45,1568055,72293033.442,3.56,3.56,0.016,1.22
2024-04-29,0.466,0.481,0.486,0.466,1648853,78943715.383,4.29,3.22,0.015,1.28
2024-04-30,0.482,0.477,0.483,0.475,1002268,47960667.318,1.66,-0.83,-0.004,0.78
2024-05-06,0.485,0.484,0.488,0.483,1487314,72196515.888,1.05,1.47,0.007,1.15
2024-05-07,0.484,0.482,0.486,0.48,926231,44644750.066,1.24,-0.41,-0.002,0.72
2024-05-08,0.481,0.475,0.481,0.474,945889,45077752.146,1.45,-1.45,-0.007,0.73
2024-05-09,0.474,0.482,0.483,0.474,1302089,62654192.043,1.89,1.47,0.007,1.01
2024-05-10,0.483,0.478,0.483,0.474,1073485,51183854.468,1.87,-0.83,-0.004,0.83
2024-05-13,0.474,0.473,0.478,0.47,1008899,47769074.606,1.67,-1.05,-0.005,0.78
2024-05-14,0.474,0.472,0.476,0.47,793731,37471528.794,1.27,-0.21,-0.001,0.62
2024-05-15,0.471,0.467,0.474,0.466,924054,43401310.117,1.69,-1.06,-0.005,0.72
2024-05-16,0.468,0.469,0.472,0.466,973296,45699855.149,1.28,0.43,0.002,0.76
2024-05-17,0.467,0.471,0.471,0.464,1051624,49123773.128,1.49,0.43,0.002,0.82
2024-05-20,0.471,0.472,0.475,0.469,932787,43986548.216,1.27,0.21,0.001,0.72
2024-05-21,0.471,0.468,0.472,0.467,729949,34256468.256,1.06,-0.85,-0.004,0.57
2024-05-22,0.468,0.475,0.476,0.467,1080113,50925689.76,1.92,1.5,0.007,0.84
2024-05-23,0.475,0.469,0.476,0.468,940215,44268609.355,1.68,-1.26,-0.006,0.73
2024-05-24,0.467,0.46,0.472,0.459,1260974,58609101.554,2.77,-1.92,-0.009,0.98
2024-05-27,0.46,0.464,0.464,0.455,875790,40201388.527,1.96,0.87,0.004,0.68
2024-05-28,0.463,0.458,0.465,0.458,571852,26386607.115,1.51,-1.29,-0.006,0.44
2024-05-29,0.458,0.46,0.465,0.458,735116,33968792.312,1.53,0.44,0.002,0.57
2024-05-30,0.46,0.462,0.465,0.459,753840,34849424.577,1.3,0.43,0.002,0.58
2024-05-31,0.464,0.462,0.468,0.461,751302,34883132.039,1.52,0.0,0.0,0.58
2024-06-03,0.461,0.466,0.467,0.46,905215,42064477.106,1.52,0.87,0.004,0.7
2024-06-04,0.465,0.471,0.473,0.465,1328460,62257465.618,1.72,1.07,0.005,1.03
2024-06-05,0.471,0.471,0.476,0.47,1003225,47410191.82,1.27,0.0,0.0,0.78
2024-06-06,0.473,0.468,0.474,0.467,935983,44064792.129,1.49,-0.64,-0.003,0.73
2024-06-07,0.47,0.46,0.47,0.456,1302666,60115307.514,2.99,-1.71,-0.008,1.01
2024-06-11,0.459,0.464,0.465,0.456,851869,39188479.636,1.96,0.87,0.004,0.66
2024-06-12,0.463,0.462,0.466,0.462,3041792,140906907.559,0.86,-0.43,-0.002,2.36
2024-06-13,0.463,0.464,0.469,0.463,1028251,47869739.93,1.3,0.43,0.002,0.8
2024-06-14,0.464,0.465,0.466,0.459,870513,40234510.091,1.51,0.22,0.001,0.68
2024-06-17,0.463,0.469,0.471,0.462,984550,46125845.515,1.94,0.86,0.004,0.76
2024-06-18,0.469,0.47,0.475,0.468,944421,44501558.45,1.49,0.21,0.001,0.73
2024-06-19,0.47,0.466,0.472,0.465,731261,34182503.229,1.49,-0.85,-0.004,0.57
2024-06-20,0.469,0.464,0.469,0.463,909783,42430066.487,1.29,-0.43,-0.002,0.71
2024-06-21,0.464,0.464,0.464,0.458,942153,43411097.562,1.29,0.0,0.0,0.73
2024-06-24,0.462,0.457,0.464,0.455,956489,44026582.969,1.94,-1.51,-0.007,0.74
2024-06-25,0.456,0.444,0.456,0.442,1762205,79019706.443,3.06,-2.84,-0.013,1.37
2024-06-26,0.444,0.452,0.452,0.443,1039377,46504928.761,2.03,1.8,0.008,0.81
2024-06-27,0.45,0.444,0.45,0.444,771141,34381493.906,1.33,-1.77,-0.008,0.6
2024-06-28,0.443,0.442,0.45,0.44,923432,41078836.682,2.25,-0.45,-0.002,0.72
2024-07-01,0.443,0.44,0.443,0.432,982077,42896614.279,2.49,-0.45,-0.002,0.76
2024-07-02,0.44,0.434,0.44,0.433,1085638,47306504.5,1.59,-1.36,-0.006,0.84
2024-07-03,0.434,0.434,0.437,0.43,720010,31215790.081,1.61,0.0,0.0,0.56
2024-07-04,0.435,0.43,0.437,0.43,929728,40264861.361,1.61,-0.92,-0.004,0.72
2024-07-05,0.43,0.433,0.435,0.426,877833,37762936.543,2.09,0.7,0.003,0.68
2024-07-08,0.432,0.428,0.434,0.427,744975,32081764.531,1.62,-1.15,-0.005,0.58
2024-07-09,0.427,0.437,0.439,0.426,1116454,48305857.763,3.04,2.1,0.009,0.87
2024-07-10,0.436,0.437,0.441,0.435,1959326,85879782.481,1.37,0.0,0.0,1.52
2024-07-11,0.442,0.443,0.447,0.439,1043629,46253657.591,1.83,1.37,0.006,0.81
